time,temperature_2m,relative_humidity_2m,vapour_pressure_deficit_kpa,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,shortwave_radiation,et0_fao_evapotranspiration_mm,precipitation_mm
2015-01-01T00:00:00,15.0,70,0.5116038696347317,14.3,0.343,0.0,0.0,0.0
2015-01-01T01:00:00,14.0,72,0.44760936063908174,13.8,0.343,0.0,0.0,0.0
2015-01-01T02:00:00,13.5,73,0.41781615555045365,13.4,0.344,0.0,0.0,0.0
2015-01-01T03:00:00,13.2,72,0.42489404232959027,12.9,0.344,0.0,0.0,0.0
2015-01-01T04:00:00,12.6,74,0.3793473317050308,12.5,0.344,0.0,0.0,0.0
2015-01-01T05:00:00,11.4,77,0.31004643336760207,12.0,0.345,0.0,0.0,0.0
2015-01-01T06:00:00,10.1,82,0.22251879403773128,11.6,0.345,0.0,0.0,0.0
2015-01-01T07:00:00,9.3,86,0.16401508743286924,11.3,0.345,13.0,0.0,0.0
2015-01-01T08:00:00,14.6,77,0.38224214758248165,13.5,0.345,190.0,0.09,0.0
2015-01-01T09:00:00,19.3,50,1.119429062337681,18.5,0.346,452.0,0.27,0.0
2015-01-01T10:00:00,20.4,43,1.3661819339538663,19.7,0.344,691.0,0.44,0.0
2015-01-01T11:00:00,21.7,38,1.6095013964165839,21.3,0.341,887.0,0.59,0.0
2015-01-01T12:00:00,22.8,34,1.8319166141113075,22.8,0.339,995.0,0.68,0.0
2015-01-01T13:00:00,23.4,32,1.9571285936356853,23.6,0.336,979.0,0.67,0.0
2015-01-01T14:00:00,23.7,31,2.022119088533749,24.1,0.333,920.0,0.64,0.0
2015-01-01T15:00:00,23.6,31,2.009985870234612,24.2,0.33,810.0,0.56,0.0
2015-01-01T16:00:00,23.0,33,1.882323207006036,23.6,0.328,602.0,0.42,0.0
2015-01-01T17:00:00,22.3,36,1.7233053139434487,22.9,0.327,468.0,0.32,0.0
2015-01-01T18:00:00,20.8,44,1.3757051426001057,21.4,0.326,232.0,0.16,0.0
2015-01-01T19:00:00,18.5,63,0.7880176022143994,19.4,0.327,27.0,0.02,0.0
2015-01-01T20:00:00,18.2,55,0.9405395104895861,17.5,0.327,0.0,0.01,0.0
2015-01-01T21:00:00,16.9,62,0.7316837689370902,16.0,0.327,0.0,0.0,0.0
2015-01-01T22:00:00,17.0,65,0.6782052731546556,14.9,0.328,0.0,0.0,0.0
2015-01-01T23:00:00,15.9,68,0.5781456412904807,14.0,0.328,0.0,0.0,0.0
2015-01-02T00:00:00,13.6,74,0.40497036867593933,13.3,0.328,0.0,0.0,0.0
2015-01-02T01:00:00,12.1,76,0.338841391796121,12.7,0.329,0.0,0.0,0.0
2015-01-02T02:00:00,10.7,77,0.2959559242776842,12.1,0.329,0.0,0.0,0.0
2015-01-02T03:00:00,9.6,79,0.2510410213066929,11.6,0.329,0.0,0.0,0.0
2015-01-02T04:00:00,8.7,78,0.24749988896877356,11.1,0.33,0.0,0.0,0.0
2015-01-02T05:00:00,8.3,75,0.2737215108360976,10.7,0.33,0.0,0.01,0.0
2015-01-02T06:00:00,8.0,72,0.3003752712467154,10.3,0.33,0.0,0.01,0.0
2015-01-02T07:00:00,8.3,72,0.3065680921364293,10.2,0.33,13.0,0.02,0.0
2015-01-02T08:00:00,13.1,66,0.512582825219114,12.3,0.331,195.0,0.11,0.0
2015-01-02T09:00:00,18.5,42,1.2352708359036533,16.3,0.33,455.0,0.29,0.0
2015-01-02T10:00:00,20.4,34,1.5818948708939502,18.3,0.329,706.0,0.46,0.0
2015-01-02T11:00:00,22.1,30,1.8620625345681108,20.4,0.326,897.0,0.6,0.0
2015-01-02T12:00:00,23.3,28,2.0597912133751257,22.1,0.323,1020.0,0.7,0.0
2015-01-02T13:00:00,24.2,27,2.2045458473268753,23.5,0.32,1065.0,0.74,0.0
2015-01-02T14:00:00,24.6,27,2.257949370551456,24.4,0.317,1029.0,0.72,0.0
2015-01-02T15:00:00,24.6,28,2.2270185572562307,24.8,0.315,916.0,0.64,0.0
2015-01-02T16:00:00,24.2,31,2.0837488145966354,24.5,0.313,734.0,0.51,0.0
2015-01-02T17:00:00,23.0,36,1.7980400783341242,23.5,0.311,500.0,0.35,0.0
2015-01-02T18:00:00,21.2,46,1.35957014572876,21.8,0.311,239.0,0.16,0.0
2015-01-02T19:00:00,18.8,65,0.7595436945297702,19.6,0.311,30.0,0.02,0.0
2015-01-02T20:00:00,18.8,56,0.9548549302659968,17.6,0.311,0.0,0.0,0.0
2015-01-02T21:00:00,18.4,57,0.9100841667383607,15.8,0.312,0.0,0.0,0.0
2015-01-02T22:00:00,17.4,60,0.7949588755608543,14.6,0.312,0.0,0.01,0.0
2015-01-02T23:00:00,14.3,68,0.5215980610720872,13.7,0.313,0.0,0.0,0.0
2015-01-03T00:00:00,13.5,67,0.510664190117221,12.9,0.313,0.0,0.0,0.0
2015-01-03T01:00:00,12.9,66,0.5059205171618194,12.3,0.313,0.0,0.0,0.0
2015-01-03T02:00:00,12.1,66,0.4800253050445047,11.7,0.314,0.0,0.01,0.0
2015-01-03T03:00:00,10.9,67,0.43032453835501966,11.2,0.314,0.0,0.0,0.0
2015-01-03T04:00:00,9.7,69,0.37308309392111655,10.7,0.314,0.0,0.0,0.0
2015-01-03T05:00:00,8.1,74,0.2808252529298852,10.3,0.315,0.0,0.0,0.0
2015-01-03T06:00:00,7.1,77,0.23201448906860728,9.9,0.315,0.0,0.0,0.0
2015-01-03T07:00:00,7.1,77,0.23201448906860728,9.7,0.315,12.0,0.0,0.0
2015-01-03T08:00:00,12.1,75,0.3529597831209594,12.0,0.315,193.0,0.09,0.0
2015-01-03T09:00:00,19.1,38,1.3709065730837149,17.0,0.315,456.0,0.28,0.0
2015-01-03T10:00:00,20.6,35,1.5772590028689137,18.7,0.314,698.0,0.44,0.0
2015-01-03T11:00:00,22.0,32,1.7978732107031914,20.8,0.312,888.0,0.59,0.0
2015-01-03T12:00:00,23.3,30,2.002574790781372,22.7,0.309,1013.0,0.69,0.0
2015-01-03T13:00:00,24.1,29,2.1313309264836433,24.1,0.306,1058.0,0.74,0.0
2015-01-03T14:00:00,24.5,29,2.183000826125929,24.9,0.304,1010.0,0.71,0.0
2015-01-03T15:00:00,24.4,30,2.1394188571117327,24.9,0.301,811.0,0.58,0.0
2015-01-03T16:00:00,23.9,34,1.957595773228661,24.5,0.3,697.0,0.49,0.0
2015-01-03T17:00:00,22.8,39,1.6931350524362088,23.4,0.298,481.0,0.34,0.0
2015-01-03T18:00:00,21.1,49,1.276184605299398,21.8,0.298,236.0,0.15,0.0
2015-01-03T19:00:00,19.0,62,0.8350094630764998,19.7,0.298,31.0,0.01,0.0
2015-01-03T20:00:00,18.8,58,0.9114524334357245,17.5,0.299,0.0,0.0,0.0
2015-01-03T21:00:00,18.5,57,0.9158042404113291,15.8,0.299,0.0,0.0,0.0
2015-01-03T22:00:00,17.7,61,0.7898967257024431,14.6,0.299,0.0,0.0,0.0
2015-01-03T23:00:00,16.6,64,0.6800947659509501,13.7,0.3,0.0,0.0,0.0
2015-01-04T00:00:00,16.0,64,0.6545832049747982,13.0,0.3,0.0,0.0,0.0
2015-01-04T01:00:00,15.1,65,0.6007247426956789,12.4,0.3,0.0,0.0,0.0
2015-01-04T02:00:00,12.2,72,0.3979271018754012,11.9,0.301,0.0,0.0,0.0
2015-01-04T03:00:00,10.9,74,0.3390435756736519,11.5,0.301,0.0,0.01,0.0
2015-01-04T04:00:00,9.8,75,0.3029005066496375,11.1,0.301,0.0,0.01,0.0
2015-01-04T05:00:00,8.7,77,0.2587498839218996,10.7,0.301,0.0,0.01,0.0
2015-01-04T06:00:00,8.1,76,0.25922331039681706,10.3,0.302,0.0,0.01,0.0
2015-01-04T07:00:00,8.1,76,0.25922331039681706,10.1,0.302,12.0,0.01,0.0
2015-01-04T08:00:00,12.7,76,0.35247130606475713,12.4,0.302,188.0,0.09,0.0
2015-01-04T09:00:00,19.4,43,1.284113671196637,17.4,0.302,450.0,0.28,0.0
2015-01-04T10:00:00,21.2,38,1.5609879450959836,19.2,0.301,694.0,0.45,0.0
2015-01-04T11:00:00,22.6,35,1.7824173570134365,21.3,0.299,886.0,0.59,0.0
2015-01-04T12:00:00,23.8,33,1.9753504843647969,23.0,0.297,1011.0,0.7,0.0
2015-01-04T13:00:00,24.4,31,2.108855730581565,23.9,0.294,898.0,0.63,0.0
2015-01-04T14:00:00,24.7,31,2.147010838670214,24.6,0.292,888.0,0.63,0.0
2015-01-04T15:00:00,24.3,33,2.0355080491984348,24.4,0.29,710.0,0.52,0.0
2015-01-04T16:00:00,23.6,36,1.864334720217611,23.7,0.289,558.0,0.41,0.0
2015-01-04T17:00:00,22.7,41,1.627728359694266,22.8,0.288,379.0,0.28,0.0
2015-01-04T18:00:00,21.1,51,1.2261381501896174,21.4,0.288,180.0,0.13,0.0
2015-01-04T19:00:00,19.1,64,0.796010268242157,19.7,0.288,28.0,0.02,0.0
2015-01-04T20:00:00,17.6,69,0.623920428214475,18.1,0.288,0.0,0.0,0.0
2015-01-04T21:00:00,17.5,66,0.6799955714659831,16.6,0.288,0.0,0.0,0.0
2015-01-04T22:00:00,18.1,65,0.7269509165559324,15.6,0.289,0.0,0.0,0.0
2015-01-04T23:00:00,17.3,67,0.6517093632053964,15.0,0.289,0.0,0.0,0.0
2015-01-05T00:00:00,16.8,68,0.6122578222429189,14.6,0.289,0.0,0.0,0.0
2015-01-05T01:00:00,16.1,70,0.5489799733279479,14.3,0.289,0.0,0.0,0.0
2015-01-05T02:00:00,15.1,73,0.46341623007952376,13.9,0.29,0.0,0.0,0.0
2015-01-05T03:00:00,13.6,77,0.35824301844410017,13.3,0.29,0.0,0.0,0.0
2015-01-05T04:00:00,12.2,81,0.2700219619868793,12.8,0.29,0.0,0.0,0.0
2015-01-05T05:00:00,10.6,86,0.17895022691972148,12.2,0.291,0.0,0.0,0.0
2015-01-05T06:00:00,9.5,89,0.13061625902367385,11.7,0.291,0.0,0.0,0.0
2015-01-05T07:00:00,9.0,91,0.10332544301803001,11.4,0.291,11.0,0.0,0.0
2015-01-05T08:00:00,14.4,82,0.2953037590647194,13.5,0.292,184.0,0.09,0.0
2015-01-05T09:00:00,19.9,51,1.1386844242723844,18.5,0.292,442.0,0.28,0.0
2015-01-05T10:00:00,21.7,38,1.6095013964165839,20.1,0.29,683.0,0.45,0.0
2015-01-05T11:00:00,23.0,34,1.8542288307820654,21.8,0.288,874.0,0.59,0.0
2015-01-05T12:00:00,23.9,32,2.016916857265893,23.3,0.286,961.0,0.67,0.0
2015-01-05T13:00:00,24.5,31,2.121507845108297,24.2,0.284,932.0,0.66,0.0
2015-01-05T14:00:00,24.6,31,2.1342261173705546,24.7,0.282,853.0,0.6,0.0
2015-01-05T15:00:00,23.7,33,1.9635069410400174,23.8,0.28,511.0,0.38,0.0
2015-01-05T16:00:00,22.9,37,1.7592685527136382,22.9,0.28,383.0,0.3,0.0
2015-01-05T17:00:00,22.2,42,1.5522735224614956,22.1,0.279,305.0,0.23,0.0
2015-01-05T18:00:00,20.9,52,1.1864496214188684,21.0,0.279,167.0,0.12,0.0
2015-01-05T19:00:00,19.3,64,0.8059889248831303,19.6,0.279,23.0,0.02,0.0
2015-01-05T20:00:00,19.2,61,0.8677348361517548,18.2,0.279,0.0,0.0,0.0
2015-01-05T21:00:00,19.2,60,0.8899844473351332,16.7,0.279,0.0,0.0,0.0
2015-01-05T22:00:00,18.9,59,0.895325955000743,15.7,0.28,0.0,0.0,0.0
2015-01-05T23:00:00,18.3,61,0.8202655830894164,15.3,0.28,0.0,0.0,0.0
2015-01-06T00:00:00,17.5,64,0.7199953109639822,14.8,0.28,0.0,0.0,0.0
2015-01-06T01:00:00,17.3,64,0.7109556689513415,14.6,0.28,0.0,0.0,0.0
2015-01-06T02:00:00,15.2,72,0.4836800814907228,14.3,0.281,0.0,0.0,0.0
2015-01-06T03:00:00,13.9,74,0.4129476896012388,13.5,0.281,0.0,0.0,0.0
2015-01-06T04:00:00,13.3,74,0.39712860535469324,13.1,0.281,0.0,0.0,0.0
2015-01-06T05:00:00,11.7,79,0.2887622695238249,12.6,0.282,0.0,0.0,0.0
2015-01-06T06:00:00,10.6,82,0.23007886318249907,12.3,0.282,0.0,0.0,0.0
2015-01-06T07:00:00,10.3,82,0.22551619742913018,11.9,0.282,9.0,0.01,0.0
2015-01-06T08:00:00,14.4,77,0.37733258102714134,13.9,0.282,167.0,0.08,0.0
2015-01-06T09:00:00,19.9,48,1.2083997971870202,18.5,0.282,422.0,0.26,0.0
2015-01-06T10:00:00,21.3,42,1.4692588891214164,20.2,0.281,656.0,0.43,0.0
2015-01-06T11:00:00,22.8,37,1.7486476771062482,22.1,0.279,876.0,0.59,0.0
2015-01-06T12:00:00,23.7,35,1.9048947935462859,23.4,0.277,932.0,0.65,0.0
2015-01-06T13:00:00,24.1,34,1.9812371992664852,24.0,0.275,866.0,0.62,0.0
2015-01-06T14:00:00,24.0,35,1.9395463601576137,24.1,0.274,696.0,0.5,0.0
2015-01-06T15:00:00,23.9,35,1.9279352312100453,23.9,0.272,599.0,0.45,0.0
2015-01-06T16:00:00,22.7,39,1.6829055922262748,22.8,0.271,375.0,0.29,0.0
2015-01-06T17:00:00,22.0,44,1.4806014676379224,21.8,0.271,240.0,0.19,0.0
2015-01-06T18:00:00,20.7,53,1.1475256196022277,20.8,0.271,116.0,0.09,0.0
2015-01-06T19:00:00,19.0,65,0.7690876633599341,19.5,0.271,20.0,0.03,0.0
2015-01-06T20:00:00,17.9,73,0.5537827491330882,18.5,0.271,0.0,0.0,0.0
2015-01-06T21:00:00,18.3,69,0.6520059763018439,17.4,0.271,0.0,0.0,0.0
2015-01-06T22:00:00,17.5,74,0.5199966134739872,16.5,0.272,0.0,0.0,0.0
2015-01-06T23:00:00,17.3,76,0.47397044596756105,15.8,0.272,0.0,0.0,0.0
2015-01-07T00:00:00,16.7,79,0.39925101486352654,15.4,0.272,0.0,0.0,0.0
2015-01-07T01:00:00,15.5,82,0.3169841216616168,15.0,0.273,0.0,0.0,0.0
2015-01-07T02:00:00,15.1,83,0.2917805893093298,14.6,0.273,0.0,0.0,0.0
2015-01-07T03:00:00,14.1,85,0.24135126587630934,14.1,0.273,0.0,0.0,0.0
2015-01-07T04:00:00,13.1,87,0.19598755081907304,13.8,0.273,0.0,0.0,0.0
2015-01-07T05:00:00,12.2,89,0.1563285043081933,13.3,0.274,0.0,0.0,0.0
2015-01-07T06:00:00,11.6,91,0.12293962610140312,13.0,0.274,0.0,0.0,0.0
2015-01-07T07:00:00,11.2,91,0.11972412788401714,12.8,0.274,8.0,0.0,0.0
2015-01-07T08:00:00,15.1,84,0.2746170252323104,14.6,0.274,164.0,0.08,0.0
2015-01-07T09:00:00,18.9,63,0.8079770813421339,18.9,0.274,428.0,0.26,0.0
2015-01-07T10:00:00,20.2,59,0.9706289559763401,20.5,0.274,607.0,0.39,0.0
2015-01-07T11:00:00,21.4,56,1.1214590633277048,22.2,0.272,769.0,0.51,0.0
2015-01-07T12:00:00,21.9,55,1.1825364799228593,23.3,0.272,761.0,0.52,0.0
2015-01-07T13:00:00,21.2,57,1.0826206715988274,23.4,0.273,647.0,0.45,0.9
2015-01-07T14:00:00,21.0,59,1.019672212881547,23.3,0.274,665.0,0.46,1.6
2015-01-07T15:00:00,20.7,63,0.9033712324528176,23.1,0.274,587.0,0.4,0.0
2015-01-07T16:00:00,19.9,64,0.8365844749756293,22.2,0.274,352.0,0.25,0.1
2015-01-07T17:00:00,19.5,64,0.8160768363529626,21.4,0.275,246.0,0.17,0.0
2015-01-07T18:00:00,18.2,67,0.6897289743590298,20.2,0.277,105.0,0.07,0.6
2015-01-07T19:00:00,16.9,70,0.5776450807398081,18.8,0.281,14.0,0.03,1.0
2015-01-07T20:00:00,15.7,74,0.46377131612335515,17.7,0.287,0.0,0.0,1.0
2015-01-07T21:00:00,14.9,78,0.37276756831809726,17.0,0.295,0.0,0.0,1.4
2015-01-07T22:00:00,17.2,78,0.4317336446673512,16.7,0.299,0.0,0.0,0.7
2015-01-07T23:00:00,16.5,83,0.3191198917964117,16.0,0.304,0.0,0.0,1.1
2015-01-08T00:00:00,16.1,87,0.2378913217754441,15.6,0.308,0.0,0.0,1.0
2015-01-08T01:00:00,15.8,89,0.197470710985539,15.2,0.313,0.0,0.0,0.9
2015-01-08T02:00:00,15.7,90,0.17837358312436732,14.8,0.316,0.0,0.0,0.7
2015-01-08T03:00:00,15.3,90,0.17385638954612767,14.4,0.318,0.0,0.0,0.6
2015-01-08T04:00:00,14.9,90,0.16943980378095327,14.1,0.321,0.0,0.0,0.7
2015-01-08T05:00:00,14.2,90,0.16194713704253724,13.9,0.322,0.0,0.0,0.2
2015-01-08T06:00:00,13.2,90,0.1517478722605679,13.4,0.322,0.0,0.0,0.0
2015-01-08T07:00:00,12.1,92,0.11294713059870695,13.1,0.322,8.0,0.0,0.0
2015-01-08T08:00:00,15.2,88,0.20729146349602404,14.8,0.322,161.0,0.08,0.0
2015-01-08T09:00:00,18.8,67,0.7161411976994976,19.4,0.322,399.0,0.24,0.0
2015-01-08T10:00:00,20.4,59,0.9826922682826056,20.0,0.322,624.0,0.4,0.0
2015-01-08T11:00:00,21.7,52,1.2460655972257422,21.5,0.32,773.0,0.52,0.0
2015-01-08T12:00:00,22.9,48,1.4520946784303046,23.2,0.317,922.0,0.63,0.0
2015-01-08T13:00:00,23.0,47,1.4890019398704466,23.8,0.315,777.0,0.55,0.0
2015-01-08T14:00:00,22.7,50,1.3794308133002253,24.1,0.313,764.0,0.53,0.3
2015-01-08T15:00:00,22.7,52,1.3242535807682163,24.2,0.311,715.0,0.5,0.0
