time,temperature_2m,relative_humidity_2m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation,precipitation
2026-06-02T13:00,19.3,71,19.6,0.358,0.39,644.0,0.1
2026-06-02T14:00,19.8,67,20.2,0.355,0.37,598.0,0.0
2026-06-02T15:00,20.0,65,20.9,0.358,0.43,723.0,0.1
2026-06-02T16:00,19.3,66,20.5,0.355,0.25,356.0,0.0
2026-06-02T17:00,18.9,69,20.2,0.354,0.21,316.0,0.0
2026-06-02T18:00,17.8,76,19.5,0.352,0.1,146.0,0.0
2026-06-02T19:00,15.9,84,18.5,0.351,0.01,15.0,0.0
2026-06-02T20:00,15.4,84,17.6,0.35,0.0,0.0,0.0
2026-06-02T21:00,15.2,85,17.2,0.349,0.0,0.0,0.0
2026-06-02T22:00,15.1,83,16.8,0.349,0.0,0.0,0.0
2026-06-02T23:00,14.9,81,16.5,0.348,0.0,0.0,0.0
2026-06-03T00:00,15.4,82,16.5,0.347,0.01,0.0,0.0
2026-06-03T01:00,14.1,96,16.3,0.347,0.0,0.0,0.1
2026-06-03T02:00,14.7,93,16.3,0.348,0.0,0.0,0.1
2026-06-03T03:00,14.1,99,16.2,0.344,0.0,0.0,0.1
2026-06-03T04:00,14.1,99,16.0,0.344,0.0,0.0,0.1
2026-06-03T05:00,14.0,100,15.8,0.344,0.0,0.0,0.1
2026-06-03T06:00,14.0,100,15.6,0.344,0.0,0.0,0.0
2026-06-03T07:00,14.1,99,15.5,0.343,0.0,8.0,0.0
2026-06-03T08:00,14.9,94,15.9,0.343,0.06,113.0,0.1
2026-06-03T09:00,16.1,88,16.5,0.344,0.15,284.0,0.2
2026-06-03T10:00,17.0,85,17.2,0.346,0.21,376.0,0.4
2026-06-03T11:00,18.1,80,18.1,0.348,0.3,524.0,0.4
2026-06-03T12:00,19.0,75,19.1,0.348,0.37,626.0,0.3
