time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,soil_moisture_0_to_7cm
2022-01-01,24.4,10.5,0.0,4.78,26.51,0.38275
2022-01-02,24.1,11.3,0.1,4.77,25.84,0.35841666666666666
2022-01-03,23.8,10.6,0.0,4.8,25.97,0.3403333333333333
2022-01-04,24.2,9.8,0.0,4.85,25.46,0.32279166666666664
2022-01-05,23.1,10.1,0.5,4.43,23.45,0.31520833333333337
2022-01-06,22.1,9.2,0.4,3.8,21.19,0.31395833333333334
2022-01-07,22.0,11.2,1.3,4.37,23.86,0.30620833333333336
2022-01-08,22.6,11.6,0.3,4.37,24.13,0.30033333333333334
2022-01-09,24.1,9.1,0.0,4.59,24.45,0.28975
2022-01-10,22.9,10.0,0.5,4.42,23.49,0.27999999999999997
2022-01-11,23.8,8.6,0.0,4.56,23.22,0.27037500000000003
2022-01-12,23.9,9.4,0.0,4.73,24.86,0.262125
2022-01-13,24.2,9.4,0.4,5.18,26.69,0.25658333333333333
2022-01-14,25.3,8.5,0.0,5.42,27.44,0.248375
2022-01-15,24.0,11.9,0.1,4.24,22.54,0.24287499999999998
2022-01-16,23.9,11.4,4.1,4.44,23.68,0.275125
2022-01-17,22.0,13.4,1.5,3.35,17.81,0.35575
2022-01-18,20.2,13.7,0.6,2.63,14.01,0.3737083333333333
2022-01-19,24.1,11.5,0.2,4.91,24.59,0.3511666666666667
2022-01-20,24.7,9.6,0.1,4.73,24.84,0.3265
2022-01-21,23.9,12.7,1.6,4.52,23.66,0.312125
2022-01-22,25.5,10.6,0.0,5.02,25.87,0.29741666666666666
2022-01-23,25.2,11.4,0.0,5.03,25.48,0.2800833333333333
2022-01-24,24.7,12.5,0.0,4.68,22.28,0.2705
2022-01-25,26.0,10.9,0.0,5.4,26.77,0.261
2022-01-26,24.4,9.4,0.0,5.39,28.08,0.24675
2022-01-27,24.1,9.4,0.0,5.34,28.2,0.236125
2022-01-28,25.3,10.4,0.0,5.25,26.07,0.22741666666666668
2022-01-29,25.0,12.9,0.7,4.81,24.69,0.22283333333333333
2022-01-30,24.2,10.7,0.1,4.97,26.04,0.22554166666666667
2022-01-31,23.4,13.6,0.2,3.65,18.34,0.20766666666666667
2022-02-01,24.6,12.6,1.0,4.54,24.13,0.20391666666666666
