time,temperature_2m,relative_humidity_2m,soil_temperature_0_to_7cm,shortwave_radiation,et0_fao_evapotranspiration_mm,precipitation_mm
2015-01-01T00:00:00,15.0,70,14.3,0.0,0.0,0.0
2015-01-01T01:00:00,14.0,72,13.8,0.0,0.0,0.0
2015-01-01T02:00:00,13.5,73,13.4,0.0,0.0,0.0
2015-01-01T03:00:00,13.2,72,12.9,0.0,0.0,0.0
2015-01-01T04:00:00,12.6,74,12.5,0.0,0.0,0.0
2015-01-01T05:00:00,11.4,77,12.0,0.0,0.0,0.0
2015-01-01T06:00:00,10.1,82,11.6,0.0,0.0,0.0
2015-01-01T07:00:00,9.3,86,11.3,13.0,0.0,0.0
2015-01-01T08:00:00,14.6,77,13.5,190.0,0.09,0.0
2015-01-01T09:00:00,19.3,50,18.5,452.0,0.27,0.0
2015-01-01T10:00:00,20.4,43,19.7,691.0,0.44,0.0
2015-01-01T11:00:00,21.7,38,21.3,887.0,0.59,0.0
2015-01-01T12:00:00,22.8,34,22.8,995.0,0.68,0.0
2015-01-01T13:00:00,23.4,32,23.6,979.0,0.67,0.0
2015-01-01T14:00:00,23.7,31,24.1,920.0,0.64,0.0
2015-01-01T15:00:00,23.6,31,24.2,810.0,0.56,0.0
2015-01-01T16:00:00,23.0,33,23.6,602.0,0.42,0.0
2015-01-01T17:00:00,22.3,36,22.9,468.0,0.32,0.0
2015-01-01T18:00:00,20.8,44,21.4,232.0,0.16,0.0
2015-01-01T19:00:00,18.5,63,19.4,27.0,0.02,0.0
2015-01-01T20:00:00,18.2,55,17.5,0.0,0.01,0.0
2015-01-01T21:00:00,16.9,62,16.0,0.0,0.0,0.0
2015-01-01T22:00:00,17.0,65,14.9,0.0,0.0,0.0
2015-01-01T23:00:00,15.9,68,14.0,0.0,0.0,0.0
2015-01-02T00:00:00,13.6,74,13.3,0.0,0.0,0.0
2015-01-02T01:00:00,12.1,76,12.7,0.0,0.0,0.0
2015-01-02T02:00:00,10.7,77,12.1,0.0,0.0,0.0
2015-01-02T03:00:00,9.6,79,11.6,0.0,0.0,0.0
2015-01-02T04:00:00,8.7,78,11.1,0.0,0.0,0.0
2015-01-02T05:00:00,8.3,75,10.7,0.0,0.01,0.0
2015-01-02T06:00:00,8.0,72,10.3,0.0,0.01,0.0
2015-01-02T07:00:00,8.3,72,10.2,13.0,0.02,0.0
2015-01-02T08:00:00,13.1,66,12.3,195.0,0.11,0.0
2015-01-02T09:00:00,18.5,42,16.3,455.0,0.29,0.0
2015-01-02T10:00:00,20.4,34,18.3,706.0,0.46,0.0
2015-01-02T11:00:00,22.1,30,20.4,897.0,0.6,0.0
2015-01-02T12:00:00,23.3,28,22.1,1020.0,0.7,0.0
2015-01-02T13:00:00,24.2,27,23.5,1065.0,0.74,0.0
2015-01-02T14:00:00,24.6,27,24.4,1029.0,0.72,0.0
2015-01-02T15:00:00,24.6,28,24.8,916.0,0.64,0.0
2015-01-02T16:00:00,24.2,31,24.5,734.0,0.51,0.0
2015-01-02T17:00:00,23.0,36,23.5,500.0,0.35,0.0
2015-01-02T18:00:00,21.2,46,21.8,239.0,0.16,0.0
2015-01-02T19:00:00,18.8,65,19.6,30.0,0.02,0.0
2015-01-02T20:00:00,18.8,56,17.6,0.0,0.0,0.0
2015-01-02T21:00:00,18.4,57,15.8,0.0,0.0,0.0
2015-01-02T22:00:00,17.4,60,14.6,0.0,0.01,0.0
2015-01-02T23:00:00,14.3,68,13.7,0.0,0.0,0.0
2015-01-03T00:00:00,13.5,67,12.9,0.0,0.0,0.0
2015-01-03T01:00:00,12.9,66,12.3,0.0,0.0,0.0
2015-01-03T02:00:00,12.1,66,11.7,0.0,0.01,0.0
2015-01-03T03:00:00,10.9,67,11.2,0.0,0.0,0.0
2015-01-03T04:00:00,9.7,69,10.7,0.0,0.0,0.0
2015-01-03T05:00:00,8.1,74,10.3,0.0,0.0,0.0
2015-01-03T06:00:00,7.1,77,9.9,0.0,0.0,0.0
2015-01-03T07:00:00,7.1,77,9.7,12.0,0.0,0.0
2015-01-03T08:00:00,12.1,75,12.0,193.0,0.09,0.0
2015-01-03T09:00:00,19.1,38,17.0,456.0,0.28,0.0
2015-01-03T10:00:00,20.6,35,18.7,698.0,0.44,0.0
2015-01-03T11:00:00,22.0,32,20.8,888.0,0.59,0.0
2015-01-03T12:00:00,23.3,30,22.7,1013.0,0.69,0.0
2015-01-03T13:00:00,24.1,29,24.1,1058.0,0.74,0.0
2015-01-03T14:00:00,24.5,29,24.9,1010.0,0.71,0.0
2015-01-03T15:00:00,24.4,30,24.9,811.0,0.58,0.0
2015-01-03T16:00:00,23.9,34,24.5,697.0,0.49,0.0
2015-01-03T17:00:00,22.8,39,23.4,481.0,0.34,0.0
2015-01-03T18:00:00,21.1,49,21.8,236.0,0.15,0.0
2015-01-03T19:00:00,19.0,62,19.7,31.0,0.01,0.0
2015-01-03T20:00:00,18.8,58,17.5,0.0,0.0,0.0
2015-01-03T21:00:00,18.5,57,15.8,0.0,0.0,0.0
2015-01-03T22:00:00,17.7,61,14.6,0.0,0.0,0.0
2015-01-03T23:00:00,16.6,64,13.7,0.0,0.0,0.0
2015-01-04T00:00:00,16.0,64,13.0,0.0,0.0,0.0
2015-01-04T01:00:00,15.1,65,12.4,0.0,0.0,0.0
2015-01-04T02:00:00,12.2,72,11.9,0.0,0.0,0.0
2015-01-04T03:00:00,10.9,74,11.5,0.0,0.01,0.0
2015-01-04T04:00:00,9.8,75,11.1,0.0,0.01,0.0
2015-01-04T05:00:00,8.7,77,10.7,0.0,0.01,0.0
2015-01-04T06:00:00,8.1,76,10.3,0.0,0.01,0.0
2015-01-04T07:00:00,8.1,76,10.1,12.0,0.01,0.0
2015-01-04T08:00:00,12.7,76,12.4,188.0,0.09,0.0
2015-01-04T09:00:00,19.4,43,17.4,450.0,0.28,0.0
2015-01-04T10:00:00,21.2,38,19.2,694.0,0.45,0.0
2015-01-04T11:00:00,22.6,35,21.3,886.0,0.59,0.0
2015-01-04T12:00:00,23.8,33,23.0,1011.0,0.7,0.0
2015-01-04T13:00:00,24.4,31,23.9,898.0,0.63,0.0
2015-01-04T14:00:00,24.7,31,24.6,888.0,0.63,0.0
2015-01-04T15:00:00,24.3,33,24.4,710.0,0.52,0.0
2015-01-04T16:00:00,23.6,36,23.7,558.0,0.41,0.0
2015-01-04T17:00:00,22.7,41,22.8,379.0,0.28,0.0
2015-01-04T18:00:00,21.1,51,21.4,180.0,0.13,0.0
2015-01-04T19:00:00,19.1,64,19.7,28.0,0.02,0.0
2015-01-04T20:00:00,17.6,69,18.1,0.0,0.0,0.0
2015-01-04T21:00:00,17.5,66,16.6,0.0,0.0,0.0
2015-01-04T22:00:00,18.1,65,15.6,0.0,0.0,0.0
2015-01-04T23:00:00,17.3,67,15.0,0.0,0.0,0.0
2015-01-05T00:00:00,16.8,68,14.6,0.0,0.0,0.0
2015-01-05T01:00:00,16.1,70,14.3,0.0,0.0,0.0
2015-01-05T02:00:00,15.1,73,13.9,0.0,0.0,0.0
2015-01-05T03:00:00,13.6,77,13.3,0.0,0.0,0.0
2015-01-05T04:00:00,12.2,81,12.8,0.0,0.0,0.0
2015-01-05T05:00:00,10.6,86,12.2,0.0,0.0,0.0
2015-01-05T06:00:00,9.5,89,11.7,0.0,0.0,0.0
2015-01-05T07:00:00,9.0,91,11.4,11.0,0.0,0.0
2015-01-05T08:00:00,14.4,82,13.5,184.0,0.09,0.0
2015-01-05T09:00:00,19.9,51,18.5,442.0,0.28,0.0
2015-01-05T10:00:00,21.7,38,20.1,683.0,0.45,0.0
2015-01-05T11:00:00,23.0,34,21.8,874.0,0.59,0.0
2015-01-05T12:00:00,23.9,32,23.3,961.0,0.67,0.0
2015-01-05T13:00:00,24.5,31,24.2,932.0,0.66,0.0
2015-01-05T14:00:00,24.6,31,24.7,853.0,0.6,0.0
2015-01-05T15:00:00,23.7,33,23.8,511.0,0.38,0.0
2015-01-05T16:00:00,22.9,37,22.9,383.0,0.3,0.0
2015-01-05T17:00:00,22.2,42,22.1,305.0,0.23,0.0
2015-01-05T18:00:00,20.9,52,21.0,167.0,0.12,0.0
2015-01-05T19:00:00,19.3,64,19.6,23.0,0.02,0.0
2015-01-05T20:00:00,19.2,61,18.2,0.0,0.0,0.0
2015-01-05T21:00:00,19.2,60,16.7,0.0,0.0,0.0
2015-01-05T22:00:00,18.9,59,15.7,0.0,0.0,0.0
2015-01-05T23:00:00,18.3,61,15.3,0.0,0.0,0.0
2015-01-06T00:00:00,17.5,64,14.8,0.0,0.0,0.0
2015-01-06T01:00:00,17.3,64,14.6,0.0,0.0,0.0
2015-01-06T02:00:00,15.2,72,14.3,0.0,0.0,0.0
2015-01-06T03:00:00,13.9,74,13.5,0.0,0.0,0.0
2015-01-06T04:00:00,13.3,74,13.1,0.0,0.0,0.0
2015-01-06T05:00:00,11.7,79,12.6,0.0,0.0,0.0
2015-01-06T06:00:00,10.6,82,12.3,0.0,0.0,0.0
2015-01-06T07:00:00,10.3,82,11.9,9.0,0.01,0.0
2015-01-06T08:00:00,14.4,77,13.9,167.0,0.08,0.0
2015-01-06T09:00:00,19.9,48,18.5,422.0,0.26,0.0
2015-01-06T10:00:00,21.3,42,20.2,656.0,0.43,0.0
2015-01-06T11:00:00,22.8,37,22.1,876.0,0.59,0.0
2015-01-06T12:00:00,23.7,35,23.4,932.0,0.65,0.0
2015-01-06T13:00:00,24.1,34,24.0,866.0,0.62,0.0
2015-01-06T14:00:00,24.0,35,24.1,696.0,0.5,0.0
2015-01-06T15:00:00,23.9,35,23.9,599.0,0.45,0.0
2015-01-06T16:00:00,22.7,39,22.8,375.0,0.29,0.0
2015-01-06T17:00:00,22.0,44,21.8,240.0,0.19,0.0
2015-01-06T18:00:00,20.7,53,20.8,116.0,0.09,0.0
2015-01-06T19:00:00,19.0,65,19.5,20.0,0.03,0.0
2015-01-06T20:00:00,17.9,73,18.5,0.0,0.0,0.0
2015-01-06T21:00:00,18.3,69,17.4,0.0,0.0,0.0
2015-01-06T22:00:00,17.5,74,16.5,0.0,0.0,0.0
2015-01-06T23:00:00,17.3,76,15.8,0.0,0.0,0.0
2015-01-07T00:00:00,16.7,79,15.4,0.0,0.0,0.0
2015-01-07T01:00:00,15.5,82,15.0,0.0,0.0,0.0
2015-01-07T02:00:00,15.1,83,14.6,0.0,0.0,0.0
2015-01-07T03:00:00,14.1,85,14.1,0.0,0.0,0.0
2015-01-07T04:00:00,13.1,87,13.8,0.0,0.0,0.0
2015-01-07T05:00:00,12.2,89,13.3,0.0,0.0,0.0
2015-01-07T06:00:00,11.6,91,13.0,0.0,0.0,0.0
2015-01-07T07:00:00,11.2,91,12.8,8.0,0.0,0.0
2015-01-07T08:00:00,15.1,84,14.6,164.0,0.08,0.0
2015-01-07T09:00:00,18.9,63,18.9,428.0,0.26,0.0
2015-01-07T10:00:00,20.2,59,20.5,607.0,0.39,0.0
2015-01-07T11:00:00,21.4,56,22.2,769.0,0.51,0.0
2015-01-07T12:00:00,21.9,55,23.3,761.0,0.52,0.0
2015-01-07T13:00:00,21.2,57,23.4,647.0,0.45,0.9
2015-01-07T14:00:00,21.0,59,23.3,665.0,0.46,1.6
2015-01-07T15:00:00,20.7,63,23.1,587.0,0.4,0.0
2015-01-07T16:00:00,19.9,64,22.2,352.0,0.25,0.1
2015-01-07T17:00:00,19.5,64,21.4,246.0,0.17,0.0
2015-01-07T18:00:00,18.2,67,20.2,105.0,0.07,0.6
2015-01-07T19:00:00,16.9,70,18.8,14.0,0.03,1.0
2015-01-07T20:00:00,15.7,74,17.7,0.0,0.0,1.0
2015-01-07T21:00:00,14.9,78,17.0,0.0,0.0,1.4
2015-01-07T22:00:00,17.2,78,16.7,0.0,0.0,0.7
2015-01-07T23:00:00,16.5,83,16.0,0.0,0.0,1.1
2015-01-08T00:00:00,16.1,87,15.6,0.0,0.0,1.0
2015-01-08T01:00:00,15.8,89,15.2,0.0,0.0,0.9
2015-01-08T02:00:00,15.7,90,14.8,0.0,0.0,0.7
2015-01-08T03:00:00,15.3,90,14.4,0.0,0.0,0.6
2015-01-08T04:00:00,14.9,90,14.1,0.0,0.0,0.7
2015-01-08T05:00:00,14.2,90,13.9,0.0,0.0,0.2
2015-01-08T06:00:00,13.2,90,13.4,0.0,0.0,0.0
2015-01-08T07:00:00,12.1,92,13.1,8.0,0.0,0.0
2015-01-08T08:00:00,15.2,88,14.8,161.0,0.08,0.0
2015-01-08T09:00:00,18.8,67,19.4,399.0,0.24,0.0
2015-01-08T10:00:00,20.4,59,20.0,624.0,0.4,0.0
2015-01-08T11:00:00,21.7,52,21.5,773.0,0.52,0.0
2015-01-08T12:00:00,22.9,48,23.2,922.0,0.63,0.0
2015-01-08T13:00:00,23.0,47,23.8,777.0,0.55,0.0
2015-01-08T14:00:00,22.7,50,24.1,764.0,0.53,0.3
2015-01-08T15:00:00,22.7,52,24.2,715.0,0.5,0.0
2015-01-08T16:00:00,22.5,54,24.2,615.0,0.42,0.4
2015-01-08T17:00:00,21.1,61,22.9,299.0,0.21,2.6
2015-01-08T18:00:00,20.0,70,21.4,183.0,0.11,0.0
2015-01-08T19:00:00,18.9,79,19.9,26.0,0.01,0.1
2015-01-08T20:00:00,18.0,82,18.4,0.0,0.0,0.3
2015-01-08T21:00:00,17.8,83,17.4,0.0,0.0,1.1
2015-01-08T22:00:00,17.1,81,16.4,0.0,0.0,0.9
2015-01-08T23:00:00,15.4,85,15.7,0.0,0.0,0.6
2015-01-09T00:00:00,14.5,87,15.2,0.0,0.0,0.4
2015-01-09T01:00:00,13.9,88,14.9,0.0,0.0,0.5
2015-01-09T02:00:00,13.1,90,14.6,0.0,0.0,0.1
2015-01-09T03:00:00,12.1,91,14.0,0.0,0.0,0.0
2015-01-09T04:00:00,11.1,94,13.5,0.0,0.0,0.0
2015-01-09T05:00:00,10.3,94,13.0,0.0,0.0,0.0
2015-01-09T06:00:00,9.7,94,12.5,0.0,0.0,0.0
2015-01-09T07:00:00,9.6,93,12.2,9.0,0.0,0.0
2015-01-09T08:00:00,14.3,85,14.2,161.0,0.08,0.0
2015-01-09T09:00:00,18.8,60,18.8,403.0,0.24,0.0
2015-01-09T10:00:00,20.3,53,19.7,640.0,0.41,0.0
2015-01-09T11:00:00,21.6,49,21.4,777.0,0.52,0.0
2015-01-09T12:00:00,22.5,46,22.7,811.0,0.56,0.0
2015-01-09T13:00:00,23.0,44,23.4,757.0,0.54,0.0
2015-01-09T14:00:00,23.1,45,23.7,666.0,0.48,0.0
2015-01-09T15:00:00,22.7,48,23.6,617.0,0.44,0.0
2015-01-09T16:00:00,22.2,51,23.2,502.0,0.35,0.0
